,Pclass,Sex,Age,SibSp,Parch,Survived
0,3,1,34,0,0,0
1,3,0,47,1,0,0
2,2,1,62,0,0,0
3,3,1,27,0,0,0
4,3,0,22,1,1,0
5,3,1,14,0,0,0
6,3,0,30,0,0,0
7,2,1,26,1,1,0
8,3,0,18,0,0,0
9,3,1,21,2,0,0
10,3,1,28,0,0,0
11,1,1,46,0,0,0
12,1,0,23,1,0,0
13,2,1,63,1,0,0
14,1,0,47,1,0,0
15,2,0,24,1,0,0
16,2,1,35,0,0,0
17,3,1,21,0,0,0
18,3,0,27,1,0,0
19,3,0,45,0,0,0
20,1,1,55,1,0,0
21,3,1,9,0,1,0
22,1,0,28,0,0,0
23,1,1,21,0,1,0
24,1,0,48,1,3,0
25,3,1,50,1,0,0
26,1,0,22,0,1,0
27,3,1,22,0,0,0
28,1,1,41,0,0,0
29,3,1,28,2,0,0
30,2,1,50,1,0,0
31,2,1,24,2,0,0
32,3,0,33,1,2,0
33,3,0,28,1,2,0
34,1,1,30,1,0,0
35,3,1,18,0,0,0
36,3,0,28,0,0,0
37,3,0,21,0,0,0
38,3,1,25,0,0,0
39,3,1,28,0,0,0
40,3,1,39,0,1,0
41,1,1,28,0,0,0
42,3,1,41,0,0,0
43,2,0,30,0,0,0
44,1,0,45,1,0,0
45,3,1,25,0,0,0
46,1,1,45,0,0,0
47,3,1,28,0,0,0
48,1,0,60,0,0,0
49,3,0,36,0,2,0
50,1,1,24,1,0,0
51,2,1,27,0,0,0
52,2,0,20,2,1,0
53,1,0,28,3,2,0
54,2,1,28,0,0,0
55,3,1,10,4,1,0
56,3,1,35,0,0,0
57,3,1,25,0,0,0
58,3,1,28,1,0,0
59,1,0,36,0,0,0
60,3,1,17,0,0,0
61,2,1,32,0,0,0
62,3,1,18,0,0,0
63,3,0,22,0,0,0
64,1,1,13,2,2,0
65,2,0,28,0,0,0
66,3,0,18,0,0,0
67,1,1,47,0,0,0
68,1,1,31,0,0,0
69,1,0,60,1,4,0
70,3,0,24,0,0,0
71,3,1,21,0,0,0
72,3,0,29,0,0,0
73,1,1,28,0,0,0
74,1,0,35,0,0,0
75,1,1,32,0,0,0
76,3,1,28,0,0,0
77,1,0,55,2,0,0
78,2,1,30,0,0,0
79,3,0,24,0,0,0
80,3,1,6,1,1,0
81,1,1,67,1,0,0
82,1,1,49,0,0,0
83,3,1,28,0,0,0
84,2,1,28,0,0,0
85,3,1,28,1,0,0
86,3,0,27,0,0,0
87,3,0,18,0,0,0
88,3,0,28,0,0,0
89,2,1,2,1,1,0
90,3,0,22,1,0,0
91,3,1,28,0,0,0
92,1,0,27,1,2,0
93,3,1,28,0,0,0
94,1,1,25,0,0,0
95,3,1,25,0,0,0
96,1,0,76,1,0,0
97,3,1,29,0,0,0
98,3,0,20,0,0,0
99,3,1,33,0,0,0
100,1,0,43,1,0,0
101,2,1,27,1,0,0
102,3,1,28,0,0,0
103,3,1,26,0,0,0
104,3,0,16,1,1,0
105,3,1,28,0,0,0
106,3,1,21,0,0,0
107,3,1,28,0,0,0
108,3,1,28,0,0,0
109,2,1,18,0,0,0
110,2,1,41,0,0,0
111,3,0,28,0,0,0
112,1,0,36,0,0,0
113,3,0,18,0,0,0
114,1,0,63,1,0,0
115,3,1,18,1,0,0
116,3,1,28,0,0,0
117,3,0,1,1,1,0
118,1,1,36,0,0,0
119,2,0,29,1,0,0
120,2,0,12,0,0,0
121,3,1,28,1,0,0
122,1,0,35,1,0,0
123,3,1,28,0,0,0
124,3,1,28,0,0,0
125,3,0,17,0,1,0
126,3,1,22,0,0,0
127,3,0,28,2,0,0
128,2,1,42,0,0,0
129,3,1,24,0,0,0
130,3,1,32,0,0,0
131,1,1,53,0,0,0
132,3,0,28,0,4,0
133,3,1,28,1,0,0
134,3,1,43,0,0,0
135,3,1,24,0,0,0
136,3,1,26,0,0,0
137,2,1,26,0,0,0
138,3,0,23,0,0,0
139,3,1,40,1,6,0
140,3,0,10,5,2,0
141,1,0,33,0,0,0
142,1,1,61,1,3,0
143,2,1,28,0,0,0
144,1,1,42,0,0,0
145,3,1,31,3,0,0
146,1,1,28,0,0,0
147,3,1,22,0,0,0
148,1,1,28,0,0,0
149,2,1,30,1,1,0
150,1,0,23,0,1,0
151,3,1,28,0,0,0
152,3,1,60,0,0,0
153,3,0,36,0,2,0
154,3,1,13,4,2,0
155,3,1,24,0,0,0
156,1,0,29,0,0,0
157,3,0,23,0,0,0
158,1,1,42,0,0,0
159,3,0,26,0,2,0
160,3,0,28,0,0,0
161,3,1,7,1,1,0
162,2,0,26,0,0,0
163,3,1,28,0,0,0
164,2,1,41,0,0,0
165,3,0,26,1,1,0
166,1,1,48,0,0,0
167,3,1,18,2,2,0
168,1,0,28,0,0,0
169,3,0,22,0,0,0
170,3,1,28,0,0,0
171,3,1,27,0,0,0
172,3,1,23,1,0,0
173,3,1,28,0,0,0
174,3,1,40,1,5,0
175,2,0,15,0,2,0
176,2,0,20,0,0,0
177,1,1,54,1,0,0
178,2,0,36,0,3,0
179,1,0,64,0,2,0
180,2,1,30,0,0,0
181,1,1,37,1,1,0
182,1,0,18,1,0,0
183,3,1,28,0,0,0
184,1,0,27,1,1,0
185,2,1,40,0,0,0
186,2,0,21,0,1,0
187,3,1,17,2,0,0
188,3,0,28,8,2,0
189,2,1,40,0,0,0
190,2,1,34,1,0,0
191,1,1,28,0,0,0
192,3,1,11,1,1,0
193,2,1,61,0,0,0
194,2,1,8,0,2,0
195,3,1,33,0,0,0
196,1,1,6,0,2,0
197,3,0,18,0,0,0
198,2,1,23,0,0,0
199,3,0,28,0,0,0
200,3,0,28,0,0,0
201,3,1,0,0,2,0
202,1,1,47,1,0,0
203,2,0,8,1,1,0
204,2,1,25,0,0,0
205,1,1,28,0,0,0
206,3,0,35,0,0,0
207,2,1,24,0,0,0
208,1,0,33,0,0,0
209,3,1,25,0,0,0
210,3,1,32,0,0,0
211,3,1,28,0,0,0
212,2,1,17,0,0,0
213,2,0,60,1,0,0
214,3,0,38,4,2,0
215,1,1,42,0,0,0
216,3,0,28,0,0,0
217,1,1,57,1,1,0
218,1,0,50,1,1,0
219,3,1,28,0,0,0
220,2,0,30,1,0,0
221,3,1,21,0,0,0
222,2,0,22,0,0,0
223,3,1,21,0,0,0
224,1,0,53,0,0,0
225,3,0,28,0,2,0
226,3,1,23,0,0,0
227,3,0,28,0,0,0
228,3,1,40,0,0,0
229,2,1,36,0,0,0
230,2,1,14,0,0,0
231,1,0,21,0,0,0
232,3,1,21,1,0,0
233,3,1,28,0,0,0
234,1,1,39,1,0,0
235,3,1,20,0,0,0
236,1,1,64,1,0,0
237,3,1,20,0,0,0
238,2,0,18,1,1,0
239,1,0,48,1,0,0
240,1,0,55,0,0,0
241,2,0,45,0,2,0
242,1,1,45,1,1,0
243,3,1,28,0,0,0
244,3,1,28,1,2,0
245,1,1,41,1,0,0
246,2,0,22,0,0,0
247,2,1,42,1,1,0
248,2,0,29,1,0,0
249,3,0,28,1,0,0
250,2,0,0,1,2,0
251,3,1,20,0,0,0
252,1,1,27,1,0,0
253,3,1,24,0,0,0
254,3,1,32,0,0,0
255,3,1,28,0,0,0
256,3,1,28,0,0,0
257,3,1,28,0,0,0
258,2,0,19,0,0,0
259,3,1,21,0,0,0
260,3,1,36,1,0,0
261,3,1,21,0,0,0
262,2,0,29,0,2,0
263,3,0,1,1,1,0
264,2,1,30,0,0,0
265,3,1,28,0,0,0
266,1,1,28,0,0,0
267,3,1,28,0,0,0
268,3,0,28,0,0,0
269,3,1,17,0,0,0
270,1,1,46,0,0,0
271,3,1,28,0,0,0
272,1,0,26,1,0,0
273,3,0,28,1,0,0
274,3,1,28,0,0,0
275,2,0,20,1,0,0
276,2,1,28,0,0,0
277,2,1,40,1,0,0
278,2,1,30,1,0,0
279,2,1,22,0,0,0
280,3,0,23,0,0,0
281,3,1,0,1,1,0
282,3,0,28,0,0,0
283,3,0,9,1,1,0
284,3,0,2,1,1,0
285,3,1,36,0,0,0
286,3,1,28,0,0,0
287,1,1,24,1,0,0
288,3,1,28,0,0,0
289,3,1,28,0,0,0
290,1,1,28,0,0,0
291,3,0,30,0,0,0
292,3,1,28,0,0,0
293,1,1,53,1,1,0
294,3,1,36,0,0,0
295,3,1,26,0,0,0
296,2,0,1,1,2,0
297,3,1,28,2,0,0
298,1,1,30,0,0,0
299,3,1,29,0,0,0
300,3,1,32,0,0,0
301,2,1,28,0,0,0
302,2,1,43,0,1,0
303,3,1,24,0,0,0
304,3,0,28,0,0,0
305,1,0,64,1,1,0
306,1,1,30,1,2,0
307,3,1,0,0,1,0
308,1,1,55,1,1,0
309,3,0,45,1,0,0
310,3,1,18,0,0,0
311,3,1,22,0,0,0
312,3,1,28,0,0,0
313,3,0,37,0,0,0
314,1,0,55,0,0,0
315,3,0,17,0,0,0
316,1,1,57,1,0,0
317,2,1,19,0,0,0
318,3,1,27,0,0,0
319,2,1,22,2,0,0
320,3,1,26,0,0,0
321,3,1,25,0,0,0
322,2,1,26,0,0,0
323,1,1,33,0,0,0
324,1,0,39,0,0,0
325,3,1,23,0,0,0
326,2,0,12,2,1,0
327,1,1,46,0,0,0
328,2,1,29,1,0,0
329,2,1,21,0,0,0
330,2,0,48,0,2,0
331,1,1,39,0,0,0
